chamber,member_id,name,party,party_code,constituency,state_or_ut,image_url,local_image_path,image_status,source_directory_url,retrieved_at_utc
Lok Sabha,5814,Mani A,Dravida Munnetra Kazhagam,DMK,Dharmapuri,Tamil Nadu,https://sansad.in/getFile/dms/fetch/f67837c8-f1e6-4194-9939-01c9dcd4a09f?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5814.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,344,Raja A,Dravida Munnetra Kazhagam,DMK,Nilgiris,Tamil Nadu,https://sansad.in/getFile/dms/fetch/aec33db8-0fdb-4cb0-be00-5ba472908abe?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_344.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5677,Brijmohan Agrawal,Bharatiya Janata Party,BJP,Raipur,Chhattisgarh,https://sansad.in/getFile/dms/fetch/91c6f37a-5ddc-4e6c-bab4-bc252c02b77e?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5677.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5620,Damodar Agrawal,Bharatiya Janata Party,BJP,Bhilwara,Rajasthan,https://sansad.in/getFile/dms/fetch/6be2383e-8431-4612-8d8b-d79e720c899b?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5620.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5782,Narayandas Ahirwar,Samajwadi Party,SP,Jalaun,Uttar Pradesh,https://sansad.in/getFile/dms/fetch/d5445de6-a77e-42cc-9f7e-3063d7cc1cd0?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5782.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5781,Mian Altaf Ahmad,Jammu and Kashmir National Conference,J&KNC,Anantnag-Rajouri,Jammu and Kashmir,https://sansad.in/getFile/dms/fetch/3d848e17-9f59-45c8-bfd8-b4708e03fec0?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5781.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4944,Sajda Ahmed,All India Trinamool Congress,AITC,Uluberia,West Bengal,https://sansad.in/getFile/dms/fetch/5810d8cd-70e3-4aa4-82fd-65f3a38bf1ff?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4944.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5788,Angomcha Bimol Akoijam,Indian National Congress,INC,Inner Manipur,Manipur,https://sansad.in/getFile/dms/fetch/6dabbcaf-414f-489a-8309-1ddfa87d800a?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5788.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,3464,Lovely Anand,Janata Dal (United),JD(U),Sheohar,Bihar,https://sansad.in/getFile/dms/fetch/dcf11748-2f54-4bc8-8fa1-a0549e360a43?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_3464.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5528,D M Kathir Anand,Dravida Munnetra Kazhagam,DMK,Vellore,Tamil Nadu,https://sansad.in/getFile/dms/fetch/be60dd5f-6f56-44bc-9c8f-72d740078961?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5528.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4969,C N Annadurai,Dravida Munnetra Kazhagam,DMK,Tiruvannamalai,Tamil Nadu,https://sansad.in/getFile/dms/fetch/48f19788-c4be-4bc3-82ef-6913af52c792?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4969.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4170,Afzal Ansari,Samajwadi Party,SP,Ghazipur,Uttar Pradesh,https://sansad.in/getFile/dms/fetch/cb7f9a3b-959a-4dda-b517-b547b9adff2c?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4170.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4571,Anto Antony,Indian National Congress,INC,Pathanamthitta,Kerala,https://sansad.in/getFile/dms/fetch/5cb6d20f-d249-473d-951e-45bbf45830c1?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4571.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,2664,Tariq Anwar,Indian National Congress,INC,Katihar,Bihar,https://sansad.in/getFile/dms/fetch/2fcc4f7c-aed3-4c0d-be83-ef5a74c47356?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_2664.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5582,Alfred Kanngam S Arthur,Indian National Congress,INC,Outer Manipur,Manipur,https://sansad.in/getFile/dms/fetch/4c98bcc6-72dd-4d96-bdf3-518a1f9c907e?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5582.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5703,D K Aruna,Bharatiya Janata Party,BJP,Mahbubnagar,Telangana,https://sansad.in/getFile/dms/fetch/d8a8f133-aa5a-4084-bd57-71120274e134?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5703.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5684,Bhumare Sandipanrao Asaram,Shiv Sena,SS,Aurangabad,Maharashtra,https://sansad.in/getFile/dms/fetch/52e2311d-c511-47d6-a349-48ffd4cda800?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5684.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4940,Gurjeet Singh Aujla,Indian National Congress,INC,Amritsar,Punjab,https://sansad.in/getFile/dms/fetch/186976f5-baf3-40aa-9f63-d39894a1ae88?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4940.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5608,Ramesh Awasthi,Bharatiya Janata Party,BJP,Kanpur,Uttar Pradesh,https://sansad.in/getFile/dms/fetch/1ac0ea7e-f3a4-4290-a23c-561a2b7f321f?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5608.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4552,Manickam Tagore B,Indian National Congress,INC,Virudhunagar,Tamil Nadu,https://sansad.in/getFile/dms/fetch/bc43776a-5e70-4866-a20f-04f6a72496a9?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4552.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,26,T R Baalu,Dravida Munnetra Kazhagam,DMK,Sriperumbudur,Tamil Nadu,https://sansad.in/getFile/dms/fetch/38fdd995-5190-4811-891e-9c6e49b85211?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_26.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5655,M Mallesh Babu,Janata Dal (Secular),JD(S),Kolar,Karnataka,https://sansad.in/getFile/dms/fetch/225aa8fe-1f32-4ce6-9358-a04e111ebf42?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5655.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5714,Patel Umeshbhai Babubhai,Independent,Ind.,Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,https://sansad.in/getFile/dms/fetch/e1ed07c1-004e-4f7f-bb4e-fcfa57508fd2?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5714.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4433,Harsimrat Kaur Badal,Shiromani Akali Dal,SAD,Bathinda,Punjab,https://sansad.in/getFile/dms/fetch/9ee00122-a9a1-4890-bb39-817061927070?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4433.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,31,S  P Singh Baghel,Bharatiya Janata Party,BJP,Agra,Uttar Pradesh,https://sansad.in/getFile/dms/fetch/36390271-3bad-42ef-bae3-54e71dd5e829?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_31.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5007,Vijay Baghel,Bharatiya Janata Party,BJP,Durg,Chhattisgarh,https://sansad.in/getFile/dms/fetch/3417c78e-0791-42b7-8ee1-0b875723c616?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5007.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5722,G M Harish Balayogi,Telugu Desam Party,TDP,Amalapuram,Andhra Pradesh,https://sansad.in/getFile/dms/fetch/3eff103b-6c24-42b9-ae07-9f7d4089ea44?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5722.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5557,Anil Baluni,Bharatiya Janata Party,BJP,Garhwal,Uttarakhand,https://sansad.in/getFile/dms/fetch/8a15f91d-a77a-448f-8d0c-a206e760b50e?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5557.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,5614,Nimuben Jayantibhai Bambhaniya,Bharatiya Janata Party,BJP,Bhavnagar,Gujarat,https://sansad.in/getFile/dms/fetch/993a6795-bf6e-4df7-92f8-71ea6c7a5a3d?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_5614.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,38,Sudip Bandyopadhyay,All India Trinamool Congress,AITC,Kolkata Uttar,West Bengal,https://sansad.in/getFile/dms/fetch/d67ddb50-8104-441f-8eb3-222cf14e83f6?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_38.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4843,Abhishek Banerjee,All India Trinamool Congress,AITC,Diamond Harbour,West Bengal,https://sansad.in/getFile/dms/fetch/9ddf9df2-5eba-438f-a8c8-fc305ed81eab?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4843.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
Lok Sabha,4498,Kalyan Banerjee,All India Trinamool Congress,AITC,Sreerampur,West Bengal,https://sansad.in/getFile/dms/fetch/b1e8201a-6044-4517-bfad-80feb3faaebd?source=dsp2,/Users/alokkumardalei/Desktop/MPLED/MPLEDs/data/mp_profiles/images/ls_4498.jpg,cached,https://sansad.in/ls/members,2026-08-29T07:57:18.033216+00:00
