S.No,State,2016-17 - Expenditure - Incurred With (Rs. Crore),2016-17 - Completed - Works,2016-17 - Expenditure - Incurred With (Rs. Crore),2016-17 - Completed - Works,2018-19 - Expenditure - Incurred With (Rs. Crore),2018-19 - Completed - Works,2019-20 - Expenditure - Incurred With (Rs. Crore),2019-20 - Completed - Works
1,A & N Islands,4.77,19,4.77,19,13.56,27,1.29,0
2,Andhra Pradesh,184.04,4780,184.04,4780,202.26,3888,116.04,3542
3,Arunachal Pradesh,14.31,215,14.31,215,18.14,377,3.33,63
4,Assam,111.06,2784,111.06,2784,97.36,2121,32.9,748
5,Bihar,422.23,7670,422.23,7670,411.45,5142,172.24,3955
6,Chandigarh,8.59,37,8.59,37,10.71,97,1.16,9
7,Chhattisgarh,109.83,2091,109.83,2091,101.23,2123,39.31,1168
8,D & N Haveli,4.51,12,4.51,12,6.34,30,1.94,5
9,Daman & Diu,0,0,0,0,13.95,24,1.51,0
10,Delhi,56.69,171,56.69,171,94.64,417,43.39,331
11,Goa,10.81,62,10.81,62,21.59,90,8.19,97
12,Gujarat,169.87,6281,169.87,6281,282.79,11351,135.47,4844
13,Haryana,90.2,1709,90.2,1709,90.61,1833,46.18,1198
14,Himachal Pradesh,33.08,1135,33.08,1135,37.26,1767,9.36,134
15,Jammu & Kashmir,46.38,1526,46.38,1526,60.84,1324,28.53,985
16,Jharkhand,84.66,2262,84.66,2262,108.61,2766,49.14,1179
17,Karnataka,207.73,4002,207.73,4002,219.29,3307,107.57,1719
18,Kerala,137.71,2064,137.71,2064,205.07,2477,110.79,1991
19,Lakshadweep,7.59,13,7.59,13,3.81,2,0,0
20,Madhya Pradesh,215.52,6353,215.52,6353,239.56,7587,120.02,4586
21,Maharashtra,302.47,5787,302.47,5787,393.02,5962,247.67,5458
22,Manipur,15.63,58,15.63,58,16.01,176,12.6,228
23,Meghalaya,13.15,234,13.15,234,13.38,101,9.86,315
24,Mizoram,11.33,221,11.33,221,7.37,194,8.7,154
25,Nagaland,12.68,75,12.68,75,7.5,35,4.89,32
26,Nominated,60.48,373,60.48,373,61.7,353,32.36,157
27,Odisha,143.98,4897,143.98,4897,164.76,7917,63.86,3138
28,Puducherry,7.84,55,7.84,55,18.34,42,6.02,61
29,Punjab,88.12,5838,88.12,5838,109.32,4158,33.67,1722
30,Rajasthan,177.23,2786,177.23,2786,188.24,2997,100.53,1983
31,Sikkim,12.33,196,12.33,196,9.41,60,6.03,137
32,Tamil Nadu,317.54,3300,317.54,3300,353.91,4916,220.21,2414
33,Telangana,124.28,3839,124.28,3839,104.59,3331,68.12,2195
34,Tripura,15.88,179,15.88,179,19.55,170,2.52,21
35,Uttar Pradesh,483.89,17216,483.89,17216,920.88,21703,236.7,8304
36,Uttarakhand,35.88,1381,35.88,1381,37.26,1151,31.08,1460
37,West Bengal,338.39,4752,338.39,4752,347.82,5151,123.1,2613
Total,Total,4080.68,94373,4080.68,94373,5012.13,105167,2236.28,56946
