dataset_id,title,resource_uuid,file,data_rows,status
01,District-wise Percentage of completed works in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),576d9ba2-3712-40dd-9cf8-90405c7c26ed,,0,UNAVAILABLE
02,District-wise percentage of utilisation of funds in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),77f226e7-c43a-48d1-bf7c-bc1107c0eb0f,,0,UNAVAILABLE
03,District-wise total actual expenditure in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),723a51b8-82f3-45f4-93fa-2a837fe61797,,0,UNAVAILABLE
04,District-wise total funds available in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),c8f468fe-7641-480a-a657-ab3f3dd94e32,,0,UNAVAILABLE
05,District-wise total pending works in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),719edce7-ac9a-44ab-8778-9006133f1429,,0,UNAVAILABLE
06,District-wise total sanctioned funds available in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),850ff3bc-66f9-4422-878c-3e16806e3aaf,,0,UNAVAILABLE
07,District-wise total works completed in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),5c78ee02-dab4-476e-a8ae-673a055e366d,,0,UNAVAILABLE
08,District-wise total works sanctioned in Punjab under MPLAD scheme from 1968 to 2022 (As on Dec.),3484fd64-59a0-480a-8a2c-02fe98e175f1,,0,UNAVAILABLE
09,Nodal district -wise 16th lok  sabha MPs actual expenditure in Punjab under MPLAD scheme from 1968 to 2021 (As on Dec.),7caf2cef-33fd-4d59-be6c-a29026dada94,,0,UNAVAILABLE
10,Nodal district -wise 16th lok  sabha MPs sanctioned funds in Punjab under MPLAD scheme from 1968 to 2021 (As on Dec.),dcd446cb-3491-4c8b-a7a7-4b3dbc2b4933,,0,UNAVAILABLE
11,Nodal district -wise 16th lok  sabha MPs unspent balance in Punjab under MPLAD scheme from 1968 to 2021 (As on Dec.),48c09bc5-de3d-42cf-b525-575f2da869e5,,0,UNAVAILABLE
12,Nodal district -wise 16th lok sabha MPs total funds available in Punjab under MPLAD scheme from 1968 to 2021 (As on Dec.),fd8fcbe1-4bce-424b-b944-06a7f2d80190,,0,UNAVAILABLE
