dataset_id,row,column,value
30,1,Sr. No.,1
30,1,State/ UT Name,Andhra Pradesh (Old)
30,1,"Railways, Roads, Pathways & Bridges",34.94
30,1,Education,7.2
30,1,Drinking Water Facility,12.11
30,1,Sanitation & Public Health,2.82
30,1,Other Public Facilities,31.98
30,1,Others,10.94
30,2,Sr. No.,2
30,2,State/ UT Name,Arunachal Pradesh
30,2,"Railways, Roads, Pathways & Bridges",14.49
30,2,Education,12.44
30,2,Drinking Water Facility,2.2
30,2,Sanitation & Public Health,2.71
30,2,Other Public Facilities,37.43
30,2,Others,30.73
30,3,Sr. No.,3
30,3,State/ UT Name,Assam
30,3,"Railways, Roads, Pathways & Bridges",25.2
30,3,Education,20.03
30,3,Drinking Water Facility,4.9
30,3,Sanitation & Public Health,1.1
30,3,Other Public Facilities,41.42
30,3,Others,7.35
30,4,Sr. No.,4
30,4,State/ UT Name,Bihar
30,4,"Railways, Roads, Pathways & Bridges",67.29
30,4,Education,8.62
30,4,Drinking Water Facility,2.3
30,4,Sanitation & Public Health,1.48
30,4,Other Public Facilities,13.97
30,4,Others,6.34
30,5,Sr. No.,5
30,5,State/ UT Name,Chhattisgarh
30,5,"Railways, Roads, Pathways & Bridges",31.05
30,5,Education,11.69
30,5,Drinking Water Facility,8.47
30,5,Sanitation & Public Health,0.78
30,5,Other Public Facilities,40.44
30,5,Others,7.58
30,6,Sr. No.,6
30,6,State/ UT Name,Goa
30,6,"Railways, Roads, Pathways & Bridges",10.78
30,6,Education,24.42
30,6,Drinking Water Facility,0.47
30,6,Sanitation & Public Health,7.75
30,6,Other Public Facilities,37.78
30,6,Others,18.8
30,7,Sr. No.,7
30,7,State/ UT Name,Gujarat
30,7,"Railways, Roads, Pathways & Bridges",44.47
30,7,Education,13.16
30,7,Drinking Water Facility,10.64
30,7,Sanitation & Public Health,3.88
30,7,Other Public Facilities,18.51
30,7,Others,9.34
30,8,Sr. No.,8
30,8,State/ UT Name,Haryana
30,8,"Railways, Roads, Pathways & Bridges",28.4
30,8,Education,10.45
30,8,Drinking Water Facility,5.25
30,8,Sanitation & Public Health,2.73
30,8,Other Public Facilities,43.35
30,8,Others,9.82
30,9,Sr. No.,9
30,9,State/ UT Name,Himachal Pradesh
30,9,"Railways, Roads, Pathways & Bridges",34.62
30,9,Education,11.36
30,9,Drinking Water Facility,2.64
30,9,Sanitation & Public Health,1.35
30,9,Other Public Facilities,43.27
30,9,Others,6.75
30,10,Sr. No.,10
30,10,State/ UT Name,Jammu & Kashmir
30,10,"Railways, Roads, Pathways & Bridges",27.06
30,10,Education,4.74
30,10,Drinking Water Facility,2.32
30,10,Sanitation & Public Health,13.21
30,10,Other Public Facilities,37.9
30,10,Others,14.76
30,11,Sr. No.,11
30,11,State/ UT Name,Jharkhand
30,11,"Railways, Roads, Pathways & Bridges",52.02
30,11,Education,8.83
30,11,Drinking Water Facility,4.96
30,11,Sanitation & Public Health,3.28
30,11,Other Public Facilities,22.59
30,11,Others,8.33
30,12,Sr. No.,12
30,12,State/ UT Name,Karnataka
30,12,"Railways, Roads, Pathways & Bridges",28.35
30,12,Education,12.55
30,12,Drinking Water Facility,3.57
30,12,Sanitation & Public Health,2.38
30,12,Other Public Facilities,47.46
30,12,Others,5.69
30,13,Sr. No.,13
30,13,State/ UT Name,Kerala
30,13,"Railways, Roads, Pathways & Bridges",46.78
30,13,Education,21.81
30,13,Drinking Water Facility,6.23
30,13,Sanitation & Public Health,1.19
30,13,Other Public Facilities,9.97
30,13,Others,14.02
30,14,Sr. No.,14
30,14,State/ UT Name,Madhya Pradesh
30,14,"Railways, Roads, Pathways & Bridges",50.61
30,14,Education,7.21
30,14,Drinking Water Facility,12.15
30,14,Sanitation & Public Health,1.32
30,14,Other Public Facilities,19.12
30,14,Others,9.58
30,15,Sr. No.,15
30,15,State/ UT Name,Maharashtra
30,15,"Railways, Roads, Pathways & Bridges",44.67
30,15,Education,7.11
30,15,Drinking Water Facility,4.73
